rain_7d_mm,et0_7d_mm,temp_high_f,temp_low_f,humidity_pct,forecast_precip_mm_d0,forecast_precip_prob_d0,forecast_precip_mm_d1_d2,forecast_temp_max_c,days_since_watered,maturity_days,seedling_frac,kc_avg,mm_day_avg,sand_pct,clay_pct,bed_area_m2,water_mm_today
0,10,85,55,50,2,0,20,18,7,90,0.0,0.6,2.0,15,15,6.0,1.14
60,45,75,75,70,0,30,20,40,2,45,0.0,0.85,5.0,15,15,3.0,0.0
0,30,85,65,30,25,0,5,18,7,45,1.0,1.05,4.0,50,15,1.5,10.81
0,20,60,75,70,25,60,0,33,2,21,1.0,1.05,2.0,50,50,1.5,1.22
60,20,75,75,90,10,30,20,33,0,21,0.0,1.05,6.0,33,15,1.5,0.55
15,20,95,75,90,2,60,0,25,7,45,1.0,1.2,6.0,33,15,1.5,32.67
60,45,60,45,30,2,30,20,40,7,7,0.5,1.2,6.0,50,33,6.0,2.35
0,30,85,45,70,25,30,5,18,2,21,1.0,0.6,5.0,50,50,6.0,1.78
5,20,85,55,30,10,90,0,18,2,45,0.0,0.6,4.0,50,15,1.5,1.5
60,20,75,75,50,10,90,0,25,2,90,1.0,1.05,6.0,50,33,1.5,0.0
5,20,60,65,30,2,30,0,18,0,21,0.0,0.6,5.0,15,50,1.5,0.0
60,20,105,75,50,25,90,0,18,0,90,0.5,1.2,6.0,33,50,1.5,0.57
0,10,95,65,30,2,30,0,40,1,90,0.0,1.05,6.0,15,15,3.0,2.01
0,10,105,45,30,2,30,5,40,4,21,0.5,0.6,4.0,33,15,3.0,2.77
15,45,85,75,90,2,30,5,25,0,7,1.0,1.05,2.0,15,50,3.0,0.0
5,10,105,45,50,0,0,20,25,4,7,1.0,0.85,2.0,50,15,3.0,2.03
60,30,85,55,70,2,60,5,25,2,90,0.5,0.6,2.0,33,50,6.0,0.19
5,30,75,65,30,2,60,5,25,4,45,1.0,0.6,5.0,50,15,1.5,9.62
15,10,60,55,70,10,30,20,33,1,45,1.0,1.2,5.0,15,15,6.0,0.0
0,30,75,65,50,25,90,20,18,0,7,1.0,0.85,2.0,33,50,6.0,0.19
5,45,75,45,70,10,0,5,25,1,7,0.5,1.2,4.0,15,15,1.5,2.25
15,45,75,65,50,0,90,0,40,1,21,0.5,1.05,5.0,15,15,1.5,0.0
5,45,85,65,30,10,60,20,40,7,45,0.0,0.6,5.0,15,50,3.0,8.08
15,30,95,45,90,2,60,0,40,0,21,0.5,1.2,2.0,50,33,6.0,0.16
15,10,85,65,90,10,90,20,33,7,21,0.0,1.2,6.0,50,50,1.5,2.71
60,10,85,65,50,25,60,5,40,4,21,1.0,1.2,4.0,50,15,3.0,0.0
60,30,60,55,70,2,30,0,18,0,21,0.5,0.6,6.0,33,50,6.0,0.26
30,45,75,55,30,0,90,0,25,7,90,0.0,0.85,2.0,33,15,3.0,22.98
60,30,95,75,90,2,90,5,33,1,45,1.0,1.2,4.0,33,33,1.5,0.0
15,30,105,45,50,2,30,5,25,1,7,0.5,1.2,5.0,50,33,3.0,0.0
0,20,95,75,30,25,90,0,33,2,90,0.5,0.85,6.0,15,33,3.0,1.18
30,20,95,55,30,25,0,0,40,1,90,0.0,0.6,5.0,33,33,1.5,0.04
30,30,85,75,70,25,60,0,40,0,7,0.5,0.85,2.0,50,15,1.5,0.32
0,20,75,55,90,0,30,5,33,2,21,1.0,0.6,4.0,33,15,6.0,3.46
0,30,105,75,90,2,0,20,25,0,45,1.0,0.6,2.0,33,50,3.0,0.0
15,10,95,75,30,25,60,20,40,1,90,0.0,1.05,6.0,33,33,6.0,0.0
60,30,85,55,30,10,90,0,40,7,90,0.5,0.6,6.0,33,15,3.0,0.21
15,30,105,65,30,2,0,0,40,4,21,1.0,1.2,6.0,33,15,1.5,21.97
15,20,95,55,70,10,90,20,33,4,45,0.5,1.2,5.0,33,33,1.5,2.55
0,20,75,55,90,10,60,0,25,2,21,0.5,0.85,5.0,15,50,6.0,3.58
5,30,60,45,70,2,90,0,18,7,45,0.5,1.2,6.0,33,15,1.5,38.07
0,10,95,75,30,0,30,0,33,0,21,0.0,1.2,4.0,50,33,3.0,0.99
30,30,105,75,70,0,0,0,25,2,7,0.0,0.85,4.0,50,15,1.5,0.55
60,45,85,45,50,10,60,20,40,0,21,0.5,0.85,6.0,15,50,1.5,0.01
5,30,75,45,30,2,60,20,33,4,7,0.5,1.05,6.0,33,50,6.0,4.97
0,45,85,65,30,0,30,20,18,2,7,0.0,1.2,6.0,33,15,6.0,4.25
30,45,60,75,70,25,60,5,18,1,45,0.5,1.2,5.0,50,33,6.0,0.21
15,30,60,75,30,25,90,0,25,7,45,1.0,1.2,6.0,15,15,3.0,11.42
60,20,85,75,90,0,0,20,25,1,45,1.0,0.6,6.0,15,15,1.5,0.0
5,45,85,65,90,25,90,0,40,7,21,0.5,0.85,4.0,15,33,3.0,12.16
15,30,60,65,70,25,30,5,40,2,45,1.0,1.2,6.0,33,15,6.0,0.03
30,10,85,75,90,25,30,5,18,1,45,0.0,1.2,2.0,50,33,1.5,0.49
5,45,75,45,90,10,60,20,40,0,45,1.0,1.2,5.0,50,50,3.0,0.09
0,20,85,55,30,25,0,20,18,4,21,1.0,1.05,2.0,15,33,1.5,4.19
15,30,85,75,50,2,90,20,25,1,21,0.0,1.2,4.0,33,50,1.5,0.08
30,30,60,75,70,2,0,5,33,7,45,1.0,1.2,5.0,33,33,1.5,19.43
30,45,60,55,90,10,60,20,33,0,90,0.5,0.6,2.0,50,50,3.0,0.54
5,30,75,55,70,2,0,20,18,2,90,0.0,1.05,4.0,15,33,3.0,1.06
30,20,75,55,70,10,30,5,40,2,45,0.0,1.2,2.0,15,15,6.0,0.0
60,30,60,75,30,10,0,5,33,2,90,1.0,1.05,2.0,50,15,3.0,0.0
0,30,105,55,30,25,60,20,40,0,21,0.0,0.6,5.0,33,15,1.5,0.06
