table,column,sqlite_type,is_pk,total_rows,non_null,missing,missing_pct,unique,min,max,mean,std,avg_len,most_common,most_common_pct,pct_true,json_parseable_pct,json_nonempty_pct
app_setting,key,VARCHAR(50),True,2,2,0,0.0,2,,,,,23.5,,,,,
app_setting,value,TEXT,False,2,2,0,0.0,2,,,,,3.5,590,50.0,,,
bed_plant,id,INTEGER,True,11,11,0,0.0,11,10.0,20.0,15.0,3.32,,,,,,
bed_plant,bed_id,INTEGER,False,11,11,0,0.0,1,2.0,2.0,2.0,0.0,,2,100.0,,,
bed_plant,plant_id,INTEGER,False,11,11,0,0.0,11,12.0,23.0,17.64,3.75,,12,9.1,,,
bed_plant,grid_x,INTEGER,False,11,11,0,0.0,4,36.0,72.0,50.18,14.01,,36,36.4,,,
bed_plant,grid_y,INTEGER,False,11,11,0,0.0,4,0.0,36.0,13.09,12.53,,0,36.4,,,
bed_plant,last_watered,DATE,False,11,0,11,100.0,0,,,,,,,,,,
bed_plant,last_fertilized,DATE,False,11,0,11,100.0,0,,,,,,,,,,
bed_plant,last_harvest,DATE,False,11,0,11,100.0,0,,,,,,,,,,
bed_plant,health_notes,TEXT,False,11,0,11,100.0,0,,,,,,,,,,
bed_plant,stage,VARCHAR(20),False,11,11,0,0.0,1,,,,,8.0,seedling,100.0,,,
canvas_plant,id,INTEGER,True,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,garden_id,INTEGER,False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,library_id,INTEGER,False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,plant_id,INTEGER,False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,pos_x,FLOAT,False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,pos_y,FLOAT,False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,radius_ft,FLOAT,False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,color,VARCHAR(20),False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,display_mode,VARCHAR(10),False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,custom_image,VARCHAR(200),False,0,0,0,0.0,0,,,,,,,,,,
canvas_plant,label,VARCHAR(100),False,0,0,0,0.0,0,,,,,,,,,,
garden,id,INTEGER,True,1,1,0,0.0,1,,,,,,,,100.0,,
garden,name,VARCHAR(100),False,1,1,0,0.0,1,,,,,10.0,mybackyard,100.0,,,
garden,description,TEXT,False,1,1,0,0.0,1,,,,,0.0,,100.0,,,
garden,unit,VARCHAR(10),False,1,1,0,0.0,1,,,,,2.0,ft,100.0,,,
garden,zip_code,VARCHAR(10),False,1,1,0,0.0,1,,,,,5.0,19350,100.0,,,
garden,city,VARCHAR(100),False,1,1,0,0.0,1,,,,,10.0,Landenberg,100.0,,,
garden,state,VARCHAR(50),False,1,1,0,0.0,1,,,,,2.0,PA,100.0,,,
garden,latitude,FLOAT,False,1,1,0,0.0,1,39.77,39.77,39.77,0.0,,39.768218,100.0,,,
garden,longitude,FLOAT,False,1,1,0,0.0,1,-75.79,-75.79,-75.79,0.0,,-75.78759,100.0,,,
garden,usda_zone,VARCHAR(10),False,1,1,0,0.0,1,,,,,2.0,7a,100.0,,,
garden,zone_temp_range,VARCHAR(50),False,1,1,0,0.0,1,,,,,6.0,0 to 5,100.0,,,
garden,last_frost_date,DATE,False,1,1,0,0.0,1,,,,,,2026-04-19,100.0,,,
garden,watering_frequency_days,INTEGER,False,1,1,0,0.0,1,7.0,7.0,7.0,0.0,,7,100.0,,,
garden,water_source,VARCHAR(30),False,1,0,1,100.0,0,,,,,,,,,,
